"junit.swingui.TestRunner:createTestRunViews","junit.swingui.FailureRunView:addTab"
"junit.extensions.TestSetup:run","junit.framework.TestResult:runProtected"
"junit.swingui.ProgressBar:reset","junit.swingui.ProgressBar:setValue"
"junit.swingui.TestRunner:main","junit.swingui.TestRunner:start"
"junit.textui.TestRunner:start","junit.textui.TestRunner:getTest"
"junit.textui.ResultPrinter:addFailure","junit.textui.ResultPrinter:getWriter"
"junit.awtui.TestRunner:about","junit.awtui.AboutDialog:setModal"
"junit.swingui.ProgressBar:step","junit.swingui.ProgressBar:updateBarColor"
"junit.runner.LoadingTestCollector:classFromFile","junit.runner.TestCaseClassLoader:loadClass"
"junit.swingui.TestRunner:about","junit.swingui.AboutDialog:show"
"junit.swingui.FailureRunView:testSelected","junit.swingui.FailureRunView:getSelectedTest"
"junit.runner.BaseTestRunner:getTest","junit.runner.BaseTestRunner:runFailed"
"junit.runner.ReloadingTestSuiteLoader:load","junit.runner.ReloadingTestSuiteLoader:createLoader"
"junit.awtui.TestRunner:runSuite","junit.awtui.TestRunner:reset"
"junit.swingui.FailureRunView:activate","junit.swingui.FailureRunView:testSelected"
"junit.awtui.TestRunner:testFailed","junit.framework.TestResult:errorCount"
"junit.textui.ResultPrinter:printFailures","junit.framework.TestResult:failures"
"junit.swingui.ProgressBar:updateBarColor","junit.swingui.ProgressBar:getStatusColor"
"junit.runner.TestCaseClassLoader:loadClass","junit.runner.TestCaseClassLoader:isExcluded"
"junit.awtui.TestRunner:about","junit.awtui.AboutDialog:setVisible"
"junit.runner.BaseTestRunner:endTest","junit.runner.BaseTestRunner:testEnded"
"junit.swingui.TestTreeModel:isLeaf","junit.swingui.TestTreeModel:isTestSuite"
"junit.textui.ResultPrinter:printDefect","junit.textui.ResultPrinter:printDefectTrace"
"junit.awtui.TestRunner:main","junit.awtui.TestRunner:start"
"junit.framework.TestCase:runBare","junit.framework.TestCase:setUp"
"junit.swingui.TestRunner:reset","junit.swingui.ProgressBar:reset"
"junit.textui.ResultPrinter:printFooter","junit.framework.TestResult:errorCount"
"junit.awtui.TestRunner:createUI","junit.awtui.TestRunner:useReloadingTestSuiteLoader"
"junit.framework.TestCase:run","junit.framework.TestResult:run"
"junit.swingui.TestHierarchyRunView:getSelectedTest","junit.swingui.TestSuitePanel:getSelectedTest"
"junit.runner.ClassPathTestCollector:collectFilesInRoots","junit.runner.ClassPathTestCollector:gatherFiles"
"junit.awtui.ProgressBar:paint","junit.awtui.ProgressBar:paintBackground"
"junit.framework.TestCase:runBare","junit.framework.TestCase:tearDown"
"junit.textui.TestRunner:start","junit.textui.TestRunner:extractClassName"
"junit.textui.TestRunner:doRun","junit.framework.TestResult:addListener"
"junit.runner.ClassPathTestCollector:gatherFiles","junit.runner.ClassPathTestCollector:isTestClass"
"junit.framework.TestCase:run","junit.framework.TestCase:createResult"
"junit.runner.LoadingTestCollector:classFromFile","junit.runner.LoadingTestCollector:classNameFromFile"
